,Cont_Cont_mean_conn,Cont_Default_mean_conn,Cont_DorsAttn_mean_conn,Cont_Limbic_mean_conn,Cont_SalVentAttn_mean_conn,Cont_SomMot_mean_conn,Cont_Vis_mean_conn,Default_Default_mean_conn,Default_DorsAttn_mean_conn,Default_Limbic_mean_conn,Default_SalVentAttn_mean_conn,Default_SomMot_mean_conn,Default_Vis_mean_conn,DorsAttn_DorsAttn_mean_conn,DorsAttn_Limbic_mean_conn,DorsAttn_SalVentAttn_mean_conn,DorsAttn_SomMot_mean_conn,DorsAttn_Vis_mean_conn,Limbic_Limbic_mean_conn,Limbic_SalVentAttn_mean_conn,Limbic_SomMot_mean_conn,Limbic_Vis_mean_conn,SalVentAttn_SalVentAttn_mean_conn,SalVentAttn_SomMot_mean_conn,SalVentAttn_Vis_mean_conn,SomMot_SomMot_mean_conn,SomMot_Vis_mean_conn,Vis_Vis_mean_conn,group
0,0.7814942695350704,0.524629857258776,0.6316912612578003,0.665657312682652,0.5925160525429902,0.49229860122471836,0.4014284616349378,0.6179098151405884,0.5279261632737523,0.5754129393083962,0.5758255159459168,0.5405060589005991,0.5802998970779583,0.765866528796726,0.627275071869969,0.6282390872816701,0.5743210024474136,0.4685941247395007,0.7426924166971204,0.7261660506580545,0.5636292001454343,0.5252279627350138,0.8625963553351294,0.5683286070415244,0.5527201891635659,0.5642336426393435,0.5483368991864176,0.6361840317167152,0.0
1,0.7310467452485512,0.44789043594857864,0.5323412508402589,0.6771023952203171,0.6098101337084618,0.38270321577808336,0.3207827716204024,0.4690738231370965,0.41538185266444017,0.4652371107003963,0.4604757431583202,0.3926669873286615,0.42460604314928546,0.6227898997366976,0.5573132781906166,0.5591314167512152,0.4030897620564864,0.34516368535752745,0.7050666054061134,0.6488488570806147,0.43228591776958053,0.3863430083401628,0.7092954671996036,0.4110291901887028,0.39758739368567153,0.42692079238797787,0.43604600081978107,0.5142084044761371,0.0
2,0.5275390653026315,0.16572132324946517,0.28965579626278487,0.28379527527711396,0.1674368185133681,0.13662598651468486,0.05162175547965721,0.17773702570186495,0.14629046543861252,0.12855345189583148,0.14519509732300107,0.1525090221082069,0.15594709296269813,0.32521372230669077,0.2027418327802564,0.1698438518570872,0.17912424906496854,0.10946303295618712,0.3622320541346078,0.4021213545525436,0.1109679472217368,0.10828457822345332,0.6752112881635765,0.09562843555434256,0.18248716754769229,0.21072522284732545,0.17719753688857706,0.2376047811908961,0.0
3,0.7606477671219432,0.598677650742912,0.6628649946756798,0.6679918640679191,0.7415857107408383,0.5379839790452052,0.5116423755402089,0.616621565888851,0.5866989356419767,0.5813280849652792,0.6713255312994338,0.5503641740603384,0.5812809534249772,0.7449311135197695,0.6403062563809151,0.7412481484437601,0.5604187106662762,0.5059852582650931,0.7937079050983897,0.8396232375695248,0.5339592692813521,0.5157097718286717,1.0881894842158706,0.6013884803373205,0.6044055802923858,0.5519585571663969,0.5608768632512684,0.6443441379622923,0.0
4,0.7569019851433347,0.3814538784947627,0.4464990960723908,0.548926705484602,0.5527537559437596,0.315992870130851,0.27803405442178786,0.3942757330759408,0.2931576882074744,0.361693964138982,0.4313812762988448,0.29435421209866397,0.33056869222510266,0.5207189715988918,0.4380094943100178,0.45097931097343297,0.31054579585112113,0.2657050687490431,0.5566581715210503,0.5588197041253306,0.327873154169631,0.2896049905438421,0.7920624198021223,0.39989887104883776,0.41391543113473933,0.2994953564389267,0.299929960735249,0.36327316108376306,0.0
5,0.6514164972498467,0.4451524574149782,0.520497226938749,0.543307923163588,0.5807354655412514,0.4217044359726836,0.3617410124415223,0.5551654946163678,0.5060002844452783,0.44851860723630305,0.5538648682952189,0.4881025279295304,0.5320584454961765,0.6558804058701821,0.5295781049243418,0.6124368235844344,0.5247371153784761,0.4888978863959375,0.590175191017544,0.6134776335411686,0.45322141962802315,0.41713586653903145,0.8218403297302767,0.5160833664179741,0.5293703037269605,0.5103755837950369,0.5008372344670969,0.5763865128824655,0.0
6,0.6999886058287695,0.40759151913104,0.45720170316563574,0.5874788919811939,0.5638932430637519,0.3340988162559321,0.2950080449577839,0.46587320318233927,0.46117163029276803,0.4172666116621443,0.45246895415228566,0.42019920831983837,0.43927066394552067,0.5991421546921535,0.47607726856487237,0.513546120879466,0.4649054010048651,0.4470509275319455,0.6464307511045185,0.6203056360594709,0.37029033990247523,0.33736201387033965,0.789329747622882,0.39210717698749753,0.40394165072642196,0.45175160286946214,0.4565031620758837,0.5244471575614162,0.0
7,0.5672445753129507,0.4047969288006073,0.4847587873521444,0.38494594317609654,0.27598714875940805,0.24781237701604544,0.21010704469454147,0.5019301784890913,0.47162340124926583,0.23475973401154043,0.28705905681503724,0.2949787866010724,0.36204378858743846,0.6017375798240621,0.2967243945724991,0.2746419028646984,0.30964752321277805,0.29190783425331407,0.43756840794452667,0.35773394696358035,0.1806893071168973,0.1279323194964298,0.5682585526829982,0.209832525282716,0.23755579029743115,0.30025699250418214,0.2910159922411553,0.38068497497653825,0.0
8,0.6601893004870054,0.4243899322493473,0.5265722554131015,0.6306606624482224,0.5392621881676463,0.3867190921479624,0.3197387816566304,0.608592269307964,0.4945038668537581,0.5419491227233195,0.6091120679903607,0.5230457484336652,0.5407441497596526,0.6892587467951582,0.6442974918500436,0.6565642163923072,0.5158936457073189,0.4363153379040882,0.7699119769143178,0.7234868736562673,0.5101137888073921,0.44745239314660307,0.9585555829216674,0.5754040105941624,0.5787745885357661,0.5191084408500583,0.49820833399175374,0.5457254352823712,0.0
9,0.583005356758237,0.3571406416307102,0.4239855932263704,0.5048651456893356,0.4568401942380405,0.31249809551064434,0.22197303558035755,0.5607410877377916,0.49846837709202685,0.4408595850833692,0.517088919626552,0.46203668943250603,0.5038887720009603,0.6361646383089127,0.47269343177824963,0.537721007693793,0.4638206127588016,0.4200675229831966,0.608543495505991,0.5738409396528823,0.40168342108001487,0.3412298902090513,0.7397219708273063,0.4222256095756701,0.42837528246880896,0.49334475764791375,0.4674738192993794,0.5665862887988591,0.0
